FID;tipo;id;Tipo_1;Fecha;Departamen;Municipio;Vereda;Latitud;Longitud;X;Y;class
0;event;id_001;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.316456;-76.721468;706061.0008;858878.9219;222
1;event;id_002;Flujo;10/9/1991 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.282921;-76.701161;708310.4007;855160.7865;222
2;event;id_003;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.23053;-76.629175;716304.2689;849341.0235;222
3;event;id_004;Deslizamiento;30/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.163096;-76.72712;705387.7991;841904.2339;222
4;event;id_005;Flujo;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.334519;-76.720414;706183.6152;860878.1061;222
5;event;id_006;Reptación;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.206722;-76.689567;709578.5005;846722.7226;222
6;event;id_007;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.320308;-76.72109;706104.194;859305.2098;222
7;event;id_008;Reptación;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.204752;-76.680048;710637.0453;846501.9616;222
8;event;id_009;Deslizamiento;25/12/2019 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.193343;-76.600281;719508.6484;845216.9501;222
9;event;id_010;Reptación;29/8/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.177155;-76.73701;704291.3316;843463.338;222
10;event;id_011;Caida;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.333033;-76.713967;706900.4055;860711.6897;222
11;event;id_012;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.318675;-76.723858;705795.7635;859125.2671;222
12;event;id_013;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.31445;-76.727036;705440.9499;858658.5217;222
13;event;id_014;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.320228;-76.725916;705567.2657;859297.7912;222
14;event;id_015;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.235341;-76.73404;704638.5166;849903.4896;222
15;event;id_016;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.329801;-76.714787;706808.2227;860354.1669;222
16;event;id_017;Flujo;3/10/2018 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.160809;-76.645897;714424.5672;841628.3651;222
17;event;id_018;Deslizamiento;24/11/2020 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.206833;-76.620161;717300.5701;846715.5645;222
18;event;id_019;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.306855;-76.719459;706281.6744;857815.5362;222
19;event;id_020;Reptación;29/8/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.216759;-76.75367;702448.9984;847852.2294;222
20;event;id_021;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.223848;-76.635534;715594.942;848603.1843;222
21;event;id_022;Deslizamiento;29/8/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.158753;-76.738959;704069.2343;841426.8477;222
22;event;id_023;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.267176;-76.698028;708654.4039;853417.0005;222
23;event;id_024;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.206281;-76.615125;717860.7024;846653.0751;222
24;event;id_025;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.324872;-76.714972;706786.1825;859808.6049;222
25;event;id_026;Caida;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.276839;-76.603919;719126.9119;854459.7351;222
26;event;id_027;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.169401;-76.706761;707654.8979;842596.3989;222
27;event;id_028;Deslizamiento;24/11/2020 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.298636;-76.637421;715406.058;856881.8726;222
28;event;id_029;Flujo;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.202476;-76.628192;716405.87;846235.5223;222
29;event;id_030;Deslizamiento;29/8/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.235126;-76.745301;703385.5172;849882.9775;222
30;event;id_031;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.330546;-76.711701;707151.7621;860435.7166;222
31;event;id_032;Flujo;22/8/2019 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.255689;-76.740277;703950.4993;852157.7795;222
32;event;id_033;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.31845;-76.718853;706352.5157;859098.8721;222
33;event;id_034;Deslizamiento;27/8/2012 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.213929;-76.599418;719610.2705;847495.2758;222
34;event;id_035;Deslizamiento;1/3/2018 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.163616;-76.649825;713988.295;841940.1517;222
35;event;id_036;Deslizamiento;28/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.281733;-76.69935;708511.5379;855028.7537;222
36;event;id_037;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.20812;-76.728104;705291.1314;846888.4992;222
37;event;id_038;Deslizamiento;1/1/2007 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.157827;-76.618564;717464.8821;841290.816;222
38;event;id_039;Flujo;1/4/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.283727;-76.690897;709452.5471;855247.0144;222
39;event;id_040;Deslizamiento;10/9/1991 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.282555;-76.694614;709038.677;855118.3637;222
40;event;id_041;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.235297;-76.594238;720192.4094;849858.9625;222
41;event;id_042;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.319571;-76.724963;705673.0948;859224.7799;222
42;event;id_043;Deslizamiento;30/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.1604;-76.649314;714044.2685;841584.0342;222
43;event;id_044;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.276191;-76.709119;707423.0743;854418.1383;222
44;event;id_045;Flujo;22/10/2020 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.316456;-76.718394;706402.9913;858878.0088;222
